PMID,titre,date,note,resume,journal,lien_journal
39890587,Digital health competences and AI beliefs as conditions for the practice of evidence-based medicine: a study of prospective physicians in Canada.,12/2025,0.553,"BACKGROUND: The practice of evidence-based medicine (EBM) has become pivotal in enhancing medical care and patient outcomes. With the diffusion of innovation in healthcare organizations, EBM can be expected to depend on medical professionals' competences with digital health (dHealth) and artificial intelligence (AI) technologies. OBJECTIVE: We aim to investigate the effect of dHealth competences and perceptions of AI on the adoption of EBM among prospective physicians. By focusing on dHealth and AI technologies, the study seeks to inform the redesign of medical curricula to better prepare students for the demands of evidence-based medical practice. METHODS: A cross-sectional survey was administered online to students at the University of Montreal's medical school, which has approximately 1,400 enrolled students. The survey included questions on students' dHealth competences, perceptions of AI, and their practice of EBM. Using structural equation modeling (SEM), we analyzed data from 177 respondents to test our research model. RESULTS: Our analysis indicates that medical students possess foundational knowledge competences of dHealth technologies and perceive AI to play an important role in the future of medicine. Yet, their experiential competences with dHealth technologies are limited. Our findings reveal that experiential dHealth competences are significantly related to the practice of EBM (beta = 0.42, p < 0.001), as well as students' perceptions of the role of AI in the future of medicine (beta = 0.39, p < 0.001), which, in turn, also affect EBM (beta = 0.19, p < 0.05). CONCLUSIONS: The study underscores the necessity of enhancing students' competences related to dHealth and considering their perceptions of the role of AI in the medical profession. In particular, the low levels of experiential dHealth competences highlight a promising starting point for training future physicians while simultaneously strengthening their practice of EBM. Accordingly, we suggest revising medical curricula to focus on providing students with practical experiences with dHealth and AI technologies.",Medical education online,https://doi.org/10.1080/10872981.2025.2459910
39828281,"The role of HSPA14 in breast cancer: implications for tumorigenesis, immune response modulation, and personalized therapies.",12/2025,0.553,"BACKGROUND: Heat shock proteins have been implicated in the process of carcinogenesis. HSPA14, a member of the heat shock protein family, remains poorly understood in terms of its significance and pathomechanisms in breast cancer. METHODS: We analyzed the expression levels of HSPA14 and its prognostic significance in breast cancer using TCGA data. TCGA data was used to investigate the association between HSPA14 expression and clinicopathological features in breast cancer patients. GSEA analysis was conducted to identify the biological function of HSPA14. Spearman's correlation analysis was performed to examine the correlation between HSPA14 expression and immune cell infiltration, as well as immune checkpoint genes. Single cell transcriptomic data from GSE114727 was utilized to calculate the expression of HSPA14 in different cell subpopulations. The data on HSPA14 levels and drug sensitivity were extracted from the CellMiner dataset. The mRNA expression of HSPA14 was validated through cell experiments. RESULTS: HSPA14 expression is elevated in breast cancer, which is associated with poor overall survival. It can serve as a diagnostic biomarker for breast cancer patients. Pathway analysis revealed that HSPA14-associated differential genes are involved in cell cycle, apoptosis, cellular response to heat stress, and more. Additionally, HSPA14 expression is significantly correlated with the immune microenvironment. The expression of HSPA14 may also indicate drug sensitivity. CONCLUSION: Our study elucidates the involvement of HSPA14 in tumorigenesis, particularly in modulating the immune response, shaping the immune microenvironment, and contributing to drug resistance, which are pivotal for the development of personalized breast cancer therapies.","International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group",https://doi.org/10.1080/02656736.2025.2452922
39787021,Addressing challenges in the implementation of precision oncology: An in-depth examination of limitations and disparities in the treatment of non-small cell lung cancer in the Brazilian public healthcare system (SUS).,12/2025,0.553,"Precision oncology (PO) has significantly advanced lung cancer treatment by enabling personalised therapy based on genetic mutations. However, equitable access to molecular testing and targeted therapies remains a challenge, particularly in resource-limited settings such as the Brazilian Public Health System (SUS). To identify the challenges faced by SUS in caring for patients with non-small cell lung cancer (NSCLC) in terms of access to Precision Oncology. Retrospective study with data from e-medical records of NSCLC treated between 2015-2021. 174 patients with NSCLC were included, of which 56% were females and 63% had non-squamous histology - 80% of early-stage patients and 32% of advanced-stage patients missed access to genomic testing, primarily due to short life expectancy or insufficient sample size. Only one participant underwent testing for all recommended biomarkers. Among patients with actionable mutations, 40% did not receive targeted therapy; however, regarding EGFR mutations, only 8% did not get it. Access to targeted therapy was associated with improved survival outcomes. The study highlights critical challenges and missed opportunities in the implementation of precision oncology for NSCLC management within the SUS and underscores the need for strategies to improve access to genomic testing in the public health setting.",Global public health,https://doi.org/10.1080/17441692.2025.2450412
40055694,A systematic review of large language model (LLM) evaluations in clinical medicine.,3/2025,0.643,"BACKGROUND: Large Language Models (LLMs), advanced AI tools based on transformer architectures, demonstrate significant potential in clinical medicine by enhancing decision support, diagnostics, and medical education. However, their integration into clinical workflows requires rigorous evaluation to ensure reliability, safety, and ethical alignment. OBJECTIVE: This systematic review examines the evaluation parameters and methodologies applied to LLMs in clinical medicine, highlighting their capabilities, limitations, and application trends. METHODS: A comprehensive review of the literature was conducted across PubMed, Scopus, Web of Science, IEEE Xplore, and arXiv databases, encompassing both peer-reviewed and preprint studies. Studies were screened against predefined inclusion and exclusion criteria to identify original research evaluating LLM performance in medical contexts. RESULTS: The results reveal a growing interest in leveraging LLM tools in clinical settings, with 761 studies meeting the inclusion criteria. While general-domain LLMs, particularly ChatGPT and GPT-4, dominated evaluations (93.55%), medical-domain LLMs accounted for only 6.45%. Accuracy emerged as the most commonly assessed parameter (21.78%). Despite these advancements, the evidence base highlights certain limitations and biases across the included studies, emphasizing the need for careful interpretation and robust evaluation frameworks. CONCLUSIONS: The exponential growth in LLM research underscores their transformative potential in healthcare. However, addressing challenges such as ethical risks, evaluation variability, and underrepresentation of critical specialties will be essential. Future efforts should prioritize standardized frameworks to ensure safe, effective, and equitable LLM integration in clinical practice.",BMC medical informatics and decision making,https://doi.org/10.1186/s12911-025-02954-4
39879862,Timing in orthopaedic surgery - Rethinking traditional myths with a critical perspective.,3/2025,0.643,"PURPOSE: Standard operating procedures aim to achieve a standardized and assumedly high-quality therapy. However, in orthopaedic surgery, the aspect of temporal urgency is often based on surgical tradition and experience. At a time of evidence-based medicine, it is necessary to question these temporal guidelines. The following review will therefore address the most important temporal guidelines in orthopaedic surgery and discuss their practical relevance and potential need for optimization. METHODS: The systematic review features a literature review by database search in ""PubMed"" (https://pubmed.ncbi.nlm.nih.gov) for time to surgery in terms of (1) ""proximal femoral fractures"", (2) ""femoral neck fractures"", (3) ""proximal humeral fractures"", (4) ""ligament and tendon injuries"", (5) ""spinal cord injuries"", (6) ""open fractures"" and (7) ""fracture-related infections"". For every diagnosis, hypotheses on timing were set up and checked for evidence. RESULTS: There is solid clinical evidence supporting the initiation of treatment within 24 h for specific conditions like the surgical treatment of proximal femur fractures and prompt decompression of spinal cord injuries. However, for other scenarios such as the 6-hour rule for open fractures, joint-preserving femoral neck fractures, timing of ligament injuries, humeral head fractures and fracture-related infections there is currently no reliable evidence to guide prompt surgical treatment. CONCLUSION: Based on the current data, resource-adapted surgical planning seems reasonable. Further research in these areas is necessary to determine the best timing of treatment and address existing doubts.",Injury,https://doi.org/10.1016/j.injury.2025.112165
40101924,Determining IFI44 as a key lupus nephritis's biomarker through bioinformatics and immunohistochemistry.,12/2025,0.553,"BACKGROUND: Lupus nephritis (LN) emerges as a severe complication of systemic lupus erythematosus (SLE), significantly affecting patient survival. Despite improvements in treatment reducing LN's morbidity and mortality, existing therapies remain suboptimal, emphasizing the necessity for early detection to improve patient outcomes. METHODS: This study employs bioinformatics and machine learning to identify and validate potential LN biomarkers using immunohistochemistry (IHC). It explores the relationship between these biomarkers and the clinical and pathological characteristics of LN, assessing their prognostic significance. The research provides deeper mechanistic insights by employing Gene Set Enrichment Analysis (GSEA), Gene Ontology (GO), and Kyoto Encyclopedia of Genes and Genomes (KEGG) analyses. Additionally, the study characterizes the immune profiles of LN patients through the CIBERSORT algorithm, focusing on the role of interferon-inducible protein 44 (IFI44) as a key biomarker. RESULTS: IFI44 shows elevated expression in LN-affected kidneys, compared to healthy controls. The levels of IFI44 positively correlate with serum creatinine and the Systemic Lupus Erythematosus Disease Activity Index (SLEDAI) and inversely with serum complement C3 and initial estimated glomerular filtration rate (eGFR). CONCLUSION: IFI44 is identified as a promising biomarker for LN, offering potential to refine the assessment of disease progression and predict clinical outcomes. This facilitates the development of more personalized treatment strategies for LN patients.",Renal failure,https://doi.org/10.1080/0886022X.2025.2479575
40094536,Immunohistochemical and bioinformatics analysis of the placental BCL-2 and Beclin-1 expressions in preeclampsia and HELLP syndrome.,12/2025,0.553,"BACKGROUND: This study aimed to examine the alterations in apoptosis and autophagy in placental tissues from normal pregnancies compared to those affected by preeclampsia (PE) and HELLP (haemolysis, elevated liver enzymes, low platelets) syndrome. We analysed the expression of autophagy-associated proteins, Beclin-1 and BCL-2, in human placental tissues and assessed their variations in placentas from pregnancies complicated by PE and HELLP syndrome by immunohistochemical (IHC) and in silico analyses. METHODS: An experimental case-control study was performed, involving 40 pregnant women complicated with preeclampsia, 25 pregnant women with HELLP syndrome, and 40 healthy pregnant women. The placental sections were stained with BCL-2 and Beclin-1 immunostains and subjected to IHC examination. The results of the IHC staining were assessed using semi-quantitative analysis. In silico analyses were performed using STRING and Cytoscape software to construct protein interaction networks for BCL-2 and Beclin-1 in PE and HELLP syndrome, followed by Gene Ontology analysis of common interactors to identify significant biological pathways. RESULTS: Both BCL-2 expression was significantly decreased (p < 0.001 and p < 0.0001, respectively) and Beclin-1 staining was significantly increased (p < 0.0001 and p < 0.0001, respectively) in the PE group and HELLP group compared to the control group. The changes in BCL-2 and Beclin-1 expression between PE and the HELLP group were also statistically significant. BCL2 expression was notably lower (p < 0.0001), and Beclin-1 staining was significantly higher (p < 0.05) in the HELLP group compared to the PE group. In PE, BCL-2 interactors were enriched in apoptosis, cytokine production, and cell proliferation pathways, while Beclin-1 interactors were linked to autophagy and phosphatidylinositol-mediated signalling. In HELLP, BCL-2 interactors were involved in inflammatory response regulation, whereas Beclin-1 interactors were associated with vascular endothelial growth factor (VEGF) signalling and immune regulation. CONCLUSIONS: The differential expression patterns of BCL-2 and Beclin-1 between the PE and HELLP groups suggest that these proteins play distinct roles in the pathophysiology of these conditions.",Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology,https://doi.org/10.1080/01443615.2025.2478577
39789882,Long-term impact of molecular epidemiology shifts of methicillin-resistant Staphylococcus aureus on severity and mortality of bloodstream infection.,12/2025,0.553,"A 2019 nationwide study in Japan revealed the predominant methicillin-resistant Staphylococcus aureus (MRSA) types in bloodstream infections (BSIs) to be sequence type (ST)8-carrying SCCmec type IV (ST8-MRSA-IV) and clonal complex 1-carrying SCCmec type IV (CC1-MRSA-IV). However, detailed patient characteristics and how these MRSA types evolve over time remain largely unknown. In this long-term single-center study, MRSA strains isolated from blood cultures at Nagasaki University Hospital from 2012 to 2019 were sequenced and analyzed. Additionally, we compared the SCCmec types and patient characteristics identified in this study with previous data from our hospital spanning 2003-2007 and 2008-2011. Over this 16-year period, SCCmec type II decreased significantly from 79.2% to 15.5%, while type IV increased from 18.2% to 65.5%. This shift in SCCmec types was associated with notable changes in severity and outcomes; the sequential organ failure assessment (SOFA) score decreased from 5.8 to 3.1; in-hospital mortality declined from 39.8% to 15.5%. In contrast, no significant changes in patient demographics, such as age, sex, or underlying diseases, were observed. Between 2012 and 2019, the major combinations of SCCmec type and sequence type were ST8-MRSA-IV, ST8-MRSA-I, CC1-MRSA-IV, and ST5-MRSA-II. Additionally, ST8-MRSA-IV was divided into CA-MRSA/J, t5071-ST8-MRSA-IV, and USA300-like clone based on the results of molecular analysis. These major combinations showed similar drug resistance patterns, molecular characteristics, and phylogenetic features to those identified in nationwide surveillance. This study highlights the evolving nature of MRSA types in bloodstream infections, correlating with improved patient outcomes over time.",Emerging microbes & infections,https://doi.org/10.1080/22221751.2024.2449085
39749683,"Using network pharmacology and molecular docking technology, proteomics and experiments were used to verify the effect of Yigu decoction (YGD) on the expression of key genes in osteoporotic mice.",12/2025,0.553,"BACKGROUND: Yigu decoction (YGD) is a traditional Chinese medicine prescription for the treatment of osteoporosis, although many clinical studies have confirmed its anti-OP effect, but the specific mechanism is still not completely clear. METHODS: In this study, through the methods of network pharmacology and molecular docking, the material basis and action target of YGD in preventing and treating OP were analyzed, and the potential target and mechanism of YGD in preventing and treating OP were clarified by TMT quantitative protein and experiment. RESULTS: Network pharmacology and molecular docking revealed that the active components of YGD were mainly stigmasterol and flavonoids. Molecular docking mainly studied the strong binding ability of stigmasterol to the target. Animal proteomics verified the related mechanism of YGD in preventing and treating OP. Based on the KEGG enrichment of network pharmacology and histology, our animal experiments in vivo verified that YGD may play a role in the treatment of OP by mediating hif1- alpha/vegf/glut1 signal pathway. CONCLUSIONS: YGD prevention and treatment of OP may be achieved by interfering with multiple targets. This study confirmed that it may promote osteoblast proliferation and protect osteoblast function by up-regulating the expression of proteins related to HIF signal pathway.",Annals of medicine,https://doi.org/10.1080/07853890.2024.2449225
39745207,Metabolomics reveals alterations in gut-derived uremic toxins and tryptophan metabolism in feline chronic kidney disease.,12/2025,0.553,"Chronic Kidney Disease (CKD) is one of the most common conditions affecting felines, yet the metabolic alterations underlying its pathophysiology remain poorly understood, hindering progress in identifying biomarkers and therapeutic targets. This study aimed to provide a comprehensive view of metabolic changes in feline CKD across conserved biochemical pathways and evaluate their progression throughout the disease continuum. Using a multi-biomatrix high-throughput metabolomics approach, serum and urine samples from CKD-affected cats (n = 94) and healthy controls (n = 84) were analyzed with ultra-high-performance liquid chromatography-high-resolution mass spectrometry. Significant disruptions were detected in tryptophan (indole, kynurenine, serotonin), tyrosine, and carnitine metabolism, as well as in the urea cycle. Circulating gut-derived uremic toxins, including indoxyl-sulfate, p-cresyl-sulfate, and trimethylamine-N-oxide, were markedly increased, primarily due to impaired renal excretion. However, alternative mechanisms, such as enhanced bacterial formation from dietary precursors like tryptophan, tyrosine, carnitine, and betaine, could not be ruled out. Overall, the findings suggest that metabolic disturbances in feline CKD are largely driven by the accumulation of gut-derived uremic toxins derived from precursors highly abundant in the feline diet. These insights may link the strict carnivorous nature of felines to CKD pathophysiology and highlight potential avenues for studying preventive or therapeutic interventions.",The veterinary quarterly,https://doi.org/10.1080/01652176.2024.2447601
